"Área de Proteção Ambiental","E-mail","Telefone","Endereço da Sede","Município","Documentos Legais","Atualização","Correspondência CNUC","nome_uc","Nome.da.UC","Área de Proteção Ambiental Marinha","Área de Relevante Interesse Ecológico","Estação Ecológica","Estação Experimental","Floresta Estadual","Monumento Natural Estadual","Parque Estadual","Endereço da sede","Reserva de Desenvolvimento Sustentável","Reserva Extrativista","Nº","RPPN","MUNICÍPIO","RESOLUÇÃO DE CRIAÇÃO","ÁREA EM HECTARES","APROVAÇÃO PLANO DE MANEJO","Refúgio da Vida Silvestre"
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Pousada Campos da Bocaina","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL POUSADA CAMPOS DA BOCAINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","Pousada Campos da Bocaina","São José do Barreiro","125-28/12/2010","3.79",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Recanto Olho d’Água","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO OLHO D'ÁGUA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","Recanto Olho d’Água","Botucatu","41-13/05/2022","10.6342",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Reserva do Dadinho","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO DADINHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","Reserva do Dadinho","Atibaia","54-29/06/2012","11.66",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Reserva do Jacu","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO JACU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","Reserva do Jacu","Atibaia","44-05/06/2013","3.587",NA,NA
NA,NA,NA,NA,NA,NA,NA,"nome cnuc: RPPN RESERVA DO PINHAL – GLEBA 02","RPPN Reserva do Pinhal – Gleba 02","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL – GLEBA 02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","Reserva do Pinhal – Gleba 02","Piracaia","66-05/08/2024","1.3081",NA,NA
NA,NA,NA,NA,NA,NA,NA,"nome cnuc: RPPN RESERVA DO PINHAL – GLEBA 03","RPPN Reserva do Pinhal – Gleba 03","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL – GLEBA 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","Reserva do Pinhal – Gleba 03","Piracaia","93-16/11/2024","1.092",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Reserva dos Muriquis","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS MURIQUIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","Reserva dos Muriquis","São José dos Campos","53-15/05/2018","41.3383",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Reserva Hinayana","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA HINAYANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","Reserva Hinayana","Mogi das Cruzes","29-31/03/2014","3.9",NA,NA
NA,NA,NA,NA,NA,NA,NA,"nome cnuc: RPPN MAYAHANA","RPPN Reserva Mahayana","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MAHAYANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","Reserva Mahayana","Mogi das Cruzes","28-24/04/2008","9.34",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Reserva Muriqui","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MURIQUI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","Reserva Muriqui","Tapiraí","01-02/01/2024","15.3016",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Santa Rita de Cássia","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA RITA DE CÁSSIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","Santa Rita de Cássia","Queluz","78-03/11/2015","198.23",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN São Elias","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO ELIAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","São Elias","Capivari","43-02/05/2016","2.8055",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN São Judas Tadeu","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JUDAS TADEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","São Judas Tadeu","Juquitiba","65-11/09/2008","6.05",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN São Lourenço","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO LOURENÇO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","São Lourenço","Avaré","04-10/02/2022","44.43",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Serra da Bocaina","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DA BOCAINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","Serra da Bocaina","São José do Barreiro","05-31/01/2019","19.8847","Portaria FF/DE nº 243/2023",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Serra do Itatins","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DO ITATINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","Serra do Itatins","Iguape","84-18/11/2009","75.08",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Serrinha","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRINHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","Serrinha","Queluz","59-27/06/2014","245.02",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Sítio das Pedras","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DAS PEDRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","Sítio das Pedras","Indaiatuba","03-31/01/2019","1.9019",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Sítio Manacá","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MANACÁ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","Sítio Manacá","Guaratinguetá","95-14/12/2012","25.083",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Sítio São Joaquim I","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SÃO JOAQUIM I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","Sítio São Joaquim I","São Bento do Sapucaí","21-13/03/2020","12.6454",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Sítio Solar da Montanha","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SOLAR DA MONTANHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","Sítio Solar da Montanha","Atibaia","09-30/01/2018","1.19",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Sítio Taguaíba II","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO TAGUAÍBA II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","Sítio Taguaíba II","Itanhaém","144-21/12/2021","166.748","Portaria FF/DE nº 143/2024",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Toca da Paca","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOCA DA PACA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","Toca da Paca","Guatapará","26-24/04/2008
 66-18/09/2008","187.63",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Transbaú I","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRANSBAÚ I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","Transbaú I","São Bento do Sapucaí","42-21/04/2024","1.9431",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Trápaga","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÁPAGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","Trápaga","São Miguel Arcanjo","10-30/01/2018","70.3848",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Trilhas do Cerrado","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHAS DO CERRADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","Trilhas do Cerrado","Monte Alto","52-09/06/2022","5.3",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Vale Verdejante","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE VERDEJANTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","Vale Verdejante","Ubarana","77-30/09/2014","6.3629",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Vida em Abundância","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VIDA EM ABUNDÂNCIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","Vida em Abundância","São Bento do Sapucaí","43-21/04/2024","1.9476",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Vuturussu","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VUTURUSSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","Vuturussu","Santana de Parnaíba","05-31/01/2020","161.3241","Portaria FF/DE nº 017/2023",NA
NA,"manoel.santos@fflorestal.sp.gov.br","13 3457-9246","Estrada do Guaraú, nº 4.164 – CEP11750-000","Peruíbe","Lei nº 14.982
 Localização e acessos da UC a partir da capital
 RVS Ilhas Abrigo e Guararitama","10/04/2024","ok","Refúgio da Vida Silvestre Ilhas do Abrigo e Guararitama","REFÚGIO DA VIDA SILVESTRE ILHAS DO ABRIGO E GUARARITAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilhas do Abrigo e Guararitama"
NA,"nelson.gallo@fflorestal.sp.gov.br","14 99833-0149","Av. Rodrigues Alves, 38-25 – Horto Florestal, SP, 17030-000","Bauru","–","10/04/2024","ok","Refúgio da Vida Silvestre Aimorés","REFÚGIO DA VIDA SILVESTRE AIMORÉS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aimorés"
